year;stat;country_code;value_min;value_mean;value_median;value_max
1971;TMAX;SN;;;;
1971;TMAX;SV;;;;
1971;TMAX;TG;;;;
1971;TMAX;TH;;;;
1971;TMAX;TR;-70,0;;;
1971;TMAX;TZ;;;;
1971;TMAX;US;-88,88888888888889;35,59091976397606;35,4020226981512;56,111111111111114
1971;TMAX;UY;20,0;;;
1971;TMAX;VE;;;;
1971;TMAX;VN;;;;
1971;TMAX;ZA;-20,0;28,496194824961947;27,22222222222222;
1971;TMIN;AF;;10,117199391171994;11,666666666666666;
1971;TMIN;AR;-67,77777777777777;27,517103260434194;27,77777777777778;56,111111111111114
1971;TMIN;AT;;-2,7392186707255184;8,88888888888889;17,22222222222222
1971;TMIN;AU;-88,88888888888889;33,88037523429682;32,38944630248978;53,888888888888886
1971;TMIN;BA;;-9,612633181126334;-10,0;
1971;TMIN;BE;-75,55555555555556;19,17351598173516;16,666666666666668;
1971;TMIN;BJ;45,0;;;
1971;TMIN;BS;25,0;;;
1971;TMIN;CA;-88,88888888888889;-22,8274976047294;-14,444444444444445;56,111111111111114
1971;TMIN;CH;-62,22222222222222;0,2530441400304414;11,11111111111111;54,44444444444444
1971;TMIN;CI;29,444444444444443;;;
1971;TMIN;CN;-89,44444444444444;-3,543770174885635;2,3013468013468015;56,111111111111114
1971;TMIN;CO;-2,2222222222222223;21,805555555555557;23,88888888888889;37,77777777777778
1971;TMIN;CR;;;;
1971;TMIN;CU;;;;
1971;TMIN;CY;-14,444444444444445;53,3186042334345;52,22222222222222;
1971;TMIN;DK;-85,0;14,664081419387083;12,222222222222221;
1971;TMIN;DZ;-43,888888888888886;52,042617960426185;49,16666666666667;
1971;TMIN;EE;-85,55555555555556;-13,625714916073756;-11,944444444444443;53,333333333333336
1971;TMIN;ES;-86,66666666666667;27,49400802094759;29,042735042735043;
1971;TMIN;FI;;-29,688396011719036;-21,11111111111111;55,0
1971;TMIN;FR;-89,44444444444444;22,051007043998442;22,45478036175711;
1971;TMIN;GB;-88,88888888888889;13,984340343558822;13,88888888888889;49,44444444444444
1971;TMIN;GR;-52,22222222222222;33,135692541856926;34,69135802469136;43,888888888888886
1971;TMIN;GT;-8,333333333333334;53,777777777777786;53,333333333333336;
1971;TMIN;HR;-74,44444444444444;27,634000702493854;29,444444444444443;
1971;TMIN;HU;-76,11111111111111;13,878843226788433;11,666666666666666;
1971;TMIN;IE;-45,55555555555556;22,37473407264977;23,88888888888889;
1971;TMIN;IM;-31,11111111111111;22,140030441400306;25,555555555555557;
1971;TMIN;IR;-84,44444444444444;21,373117623117622;18,333333333333332;
1971;TMIN;IS;-87,77777777777777;-9,467275494672753;-7,777777777777778;54,44444444444444
1971;TMIN;IT;-65,55555555555556;14,662220422617679;25,555555555555557;53,333333333333336
1971;TMIN;JP;-88,33333333333333;29,572948020060146;26,666666666666668;
1971;TMIN;LB;;26,546423135464227;26,666666666666668;
1971;TMIN;LU;;7,1126331811263315;5,555555555555555;
1971;TMIN;LV;-51,666666666666664;-20,542245244485024;-17,77777777777778;50,0
1971;TMIN;MR;13,88888888888889;;;
1971;TMIN;MT;10,0;33,36553945249598;31,666666666666668;
1971;TMIN;MX;-88,88888888888889;30,426338638551098;30,760819201186177;56,111111111111114
1971;TMIN;MY;;;;
1971;TMIN;NA;-19,444444444444443;54,45205479452055;;
1971;TMIN;NL;-88,33333333333333;13,514678805115487;11,666666666666666;
1971;TMIN;NO;-87,77777777777777;-14,229759815617312;-8,88888888888889;56,111111111111114
1971;TMIN;NZ;-59,44444444444444;25,725266362252658;26,85185185185185;36,666666666666664
1971;TMIN;PA;;;;
1971;TMIN;PH;-28,88888888888889;;;
1971;TMIN;PL;;4,635464231354644;4,444444444444445;
1971;TMIN;PT;-75,55555555555556;36,02313993679706;36,111111111111114;
